ID;Host ID;Host Response Rate;Host Listings Count;Host Total Listings Count;Neighbourhood Cleansed;Neighbourhood Group Cleansed;Zipcode;Latitude;Longitude;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Price;Weekly Price;Monthly Price;Guests Included;Extra People;Minimum Nights;Maximum Nights;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;Reviews per Month;Geolocation;Features
4640885;11156525;100;1;1;universidad;centro;28004;40.42208458143296;-3.705202620911306;apartment;shared room;1;1;1;1;35;245;1050;1;0;1;1125;1;100;10;10;10;10;10;10;flexible;0.05;40.422084581432955, -3.7052026209113054;0
13662859;3566146;100;142;142;universidad;centro;28004;40.42223781300828;-3.706952646059219;apartment;entire home/apt;6;2;2;2;206;1442;6180;2;17;3;1125;1;80;10;8;10;10;10;10;strict;0.14;40.42223781300828, -3.706952646059219;0
14073396;84316058;100;5;5;universidad;centro;28004;40.42366893825481;-3.704493674321595;apartment;entire home/apt;5;1;2;3;75;525;2250;2;30;1;30;1;100;10;10;10;10;10;9;strict;0.19;40.42366893825481, -3.704493674321595;0
8916748;14581236;100;1;1;universidad;centro;28004;40.42687573659708;-3.7091326120467314;apartment;entire home/apt;2;1;1;1;50;350;1500;1;0;4;1125;2;100;10;10;10;10;10;10;moderate;0.13;40.42687573659708, -3.7091326120467314;0
821339;4084426;94;10;10;universidad;centro;28004;40.42025639873373;-3.7028565499364623;apartment;entire home/apt;3;1;1;1;80;560;2400;1;0;1;365;2;90;10;8;6;9;10;9;flexible;0.05;40.42025639873373, -3.7028565499364623;0
1839669;3726732;98;10;10;universidad;centro;28004;40.42102031115586;-3.704518170813246;apartment;entire home/apt;6;1;2;4;89;623;2670;3;15;3;365;31;91;10;10;10;10;10;9;moderate;0.89;40.42102031115586, -3.704518170813246;0
695909;3021792;90;1;1;universidad;centro;28004;40.42556652139239;-3.705500888540015;apartment;entire home/apt;6;1;3;4;95;665;2850;1;0;2;1125;29;89;9;9;9;10;9;9;strict;1.61;40.42556652139239, -3.705500888540015;0
847816;4426371;80;1;1;universidad;centro;28004;40.42867441721459;-3.7134326102608406;apartment;private room;1;1;1;1;26;182;780;1;0;2;18;27;99;10;10;10;10;10;10;flexible;0.54;40.42867441721459, -3.7134326102608406;0
12066653;53586711;100;1;1;universidad;centro;28004;40.42672085767281;-3.7086373222575033;apartment;private room;3;1;1;2;35;245;1050;2;20;4;14;70;98;10;10;10;10;10;10;moderate;5.68;40.42672085767281, -3.7086373222575033;1
17402741;36148263;100;1;1;universidad;centro;28004;40.4289651352127;-3.7034982643467913;apartment;private room;1;1;1;1;22;154;660;1;0;1;4;11;98;10;10;10;10;10;10;flexible;7.67;40.4289651352127, -3.7034982643467913;0
15434474;16007075;100;1;1;universidad;centro;28004;40.42315384554406;-3.701055482456703;apartment;entire home/apt;6;2;2;4;130;910;3900;4;30;1;1125;22;99;10;10;10;10;10;10;strict;4.29;40.42315384554406, -3.701055482456703;1
14458976;88853220;100;4;4;universidad;centro;28004;40.42212493801007;-3.70093674140569;apartment;entire home/apt;2;1;1;1;125;875;3750;1;0;1;30;2;100;10;10;8;8;10;9;flexible;0.33;40.42212493801007, -3.70093674140569;0
5227938;27052860;100;3;3;universidad;centro;28004;40.422917257596346;-3.707913191878459;apartment;entire home/apt;8;1;2;4;90;630;2700;2;10;2;1125;124;92;9;9;9;9;10;9;strict;4.71;40.422917257596346, -3.707913191878459;0
6983106;36613478;100;1;1;universidad;centro;28004;40.423342923272166;-3.705075924605255;loft;entire home/apt;6;2;2;3;80;560;2400;2;15;2;1125;66;96;10;10;10;10;10;10;moderate;3.29;40.423342923272166, -3.705075924605255;1
1758199;9244612;100;2;2;universidad;centro;28004;40.425658685174746;-3.705020685739176;apartment;entire home/apt;2;1;1;2;64;448;1920;2;20;26;1125;17;90;9;9;10;10;10;9;strict;0.44;40.425658685174746, -3.705020685739176;0
15510022;12359504;100;1;1;universidad;centro;28004;40.42528383038125;-3.7024309232112182;bed & breakfast;private room;2;1;1;1;25;175;750;1;25;1;1125;16;98;10;10;10;10;10;10;moderate;3.43;40.42528383038125, -3.7024309232112187;0
3598985;18093483;100;1;1;universidad;centro;28004;40.424772964305845;-3.702318132063977;apartment;entire home/apt;2;1;1;1;69;483;2070;1;0;3;1125;4;95;10;9;10;10;10;10;strict;0.13;40.424772964305845, -3.702318132063977;0
9884153;14017201;100;2;2;universidad;centro;28004;40.4214221132956;-3.7067214652302183;apartment;entire home/apt;2;1;1;1;60;420;1800;1;0;3;35;29;94;10;10;10;10;10;10;strict;2.25;40.4214221132956, -3.7067214652302187;1
17329137;106101091;100;1;1;universidad;centro;28004;40.42595006878626;-3.705991854353768;apartment;entire home/apt;2;1;1;1;35;245;1050;1;0;1;1125;3;100;8;9;10;10;9;10;moderate;2.31;40.425950068786264, -3.7059918543537678;0
1994074;5542111;100;46;46;universidad;centro;28004;40.42240639423421;-3.706991771899806;apartment;entire home/apt;6;1;2;3;75;525;2250;5;0;1;1125;116;87;9;9;9;9;10;9;strict;2.86;40.42240639423421, -3.706991771899806;0
6190542;12045802;0;1;1;universidad;centro;28004;40.425907169024136;-3.7061747364397415;apartment;entire home/apt;4;1;1;2;52;364;1560;2;13;2;1125;4;95;10;9;10;10;10;9;flexible;0.17;40.425907169024136, -3.7061747364397415;0
6880413;36052804;100;1;1;universidad;centro;28004;40.4250427108752;-3.701144831708336;apartment;entire home/apt;3;1;2;2;82;574;2460;2;20;2;30;0;94;10;10;10;10;10;9;flexible;1.0;40.4250427108752, -3.7011448317083357;0
